Site_num,Site_name,County,Lat,Long,green_pop,prop_identifier,prop_ownership,survey_date,data_source,notes,species,num_adult,num_juv_subad_yrling,num_hatchling,num_eggs,total_ANAE_or_PLME,nest
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/2/10,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,4/10/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,4/23/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,4/10/11,NCWRC,"one adult in pocket crevice, powder crevice empty",Green Salamander,1,,,,1,FALSE
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,11/14/09,NCWRC,1 adult ANAE,Green Salamander,1,,,,1,FALSE
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,3/30/10,NCWRC,none found,,,,,,0,
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,6/27/11,NCWRC,none found,,,,,,0,
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,5/11/12,NCWRC,none found,,,,,,0,
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,3/30/13,NCWRC,none found,,,,,,0,
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,6/7/13,NCWRC,none found,,,,,,0,
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,6/14/14,NCWRC,none found,,,,,,0,
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,6/16/16,NCWRC,none found,,,,,,0,
60,Barn Trail-1C,Transylvania,35.176511,-82.614979,BRE,DuPont SRF,NCFS,5/9/20,NCWRC,none found,,,,,,0,
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,5/8/10,NCWRC,1 adult extracted and swabbed,Green Salamander,1,,,,1,FALSE
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,5/6/10,NCWRC,1 large adult on rock surface,Green Salamander,1,,,,1,FALSE
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,6/18/10,NCWRC,1 PLME,Southern Gray-cheeked Salamander,1,,,,1,FALSE
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,5/6/10,NCWRC,2 PLME,Southern Gray-cheeked Salamander,2,,,,2,FALSE
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,6/27/11,NCWRC,none found,,,,,,0,
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,5/11/12,NCWRC,none found,,,,,,0,
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,3/30/13,NCWRC,none found,,,,,,0,
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,6/7/13,NCWRC,none found,,,,,,0,
61,Barn Trail-1D,Transylvania,35.175687,-82.615281,BRE,DuPont SRF,NCFS,6/16/16,NCWRC,none found,,,,,,0,
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,11/11/21,NCWRC,1 ad ANAE,Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/21/10,NCWRC,1 adult,Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/22/12,NCWRC,1 adult ANAE,Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/22/14,NCWRC,1 adult ANAE,Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,11/4/14,NCWRC,1 adult ANAE,Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/23/13,NCWRC,1 adult ANAE unextractable; PLME same crevice,Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/23/13,NCWRC,1 adult ANAE unextractable; PLME same crevice,Southern Gray-cheeked Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,11/9/12,NCWRC,"1 adult ANAE, unextractable",Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/1/13,NCWRC,"1 adult ANAE, unextractable",Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,8/5/11,NCWRC,1 adult PLME,Southern Gray-cheeked Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/19/09,NCWRC,1 hatchling ANAE,Green Salamander,,,1,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,11/6/10,NCWRC,1 juvenile,Green Salamander,,1,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/31/11,NCWRC,"2 adult ANAE, unextractable",Green Salamander,2,,,,2,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/10/12,NCWRC,"2 adult ANAE, unextractable",Green Salamander,2,,,,2,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,4/30/09,NCWRC,2 adult ANAE; Site 1st found,Green Salamander,2,,,,2,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/17/11,NCWRC,2 juveniles,Green Salamander,,2,,,2,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,9/16/15,NCWRC,2 PLME,Southern Gray-cheeked Salamander,2,,,,2,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/6/20,NCWRC,2 PLME,Southern Gray-cheeked Salamander,2,,,,2,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,5/11/12,NCWRC,"adult female ANAE, tail snipped, vial #16",Green Salamander,1,,,,1,FALSE
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,9/2/09,NCWRC,none found,,,,,,0,
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,3/30/10,NCWRC,none found,,,,,,0,
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,8/9/10,NCWRC,none found,,,,,,0,
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,10/1/10,NCWRC,none found,,,,,,0,
62,Bridal Veil Falls Road-A,Transylvania,35.177258,-82.612358,BRE,DuPont SRF,NCFS,6/27/11,NCWRC,none found,,,,,,0,
